Year,Day,Minutes
2020,1,7.585166666666669
2020,2,3.600666666666667
2020,3,4.0925
2020,4,10.625000000000002
2020,5,4.817833333333333
2020,6,3.7004999999999995
2020,7,11.282166666666669
2020,8,6.525833333333337
2020,9,5.3523333333333305
2020,10,6.855500000000001
2020,11,11.143833333333335
2020,12,8.965166666666667
2020,13,11.80833333333333
2020,14,12.860333333333335
2020,15,7.645166666666663
2020,16,17.025999999999996
2020,17,10.45316666666667
2020,18,10.142999999999999
2020,19,20.675999999999995
2020,20,58.307666666666655
2020,21,13.117500000000001
2020,22,16.780666666666665
2020,23,30.67466666666667
2020,24,12.260166666666665
2021,1,2.137999999999999
2021,2,2.4826666666666664
2021,3,8.455833333333336
2021,4,9.096333333333332
2021,5,6.844500000000004
2021,6,4.58316666666667
2021,7,2.812
2021,8,15.939166666666672
2021,9,8.602833333333336
2021,10,6.729166666666666
2021,11,8.031166666666666
2021,12,10.134666666666666
2021,13,8.023833333333334
2021,14,10.929833333333336
2021,15,11.458666666666666
2021,16,22.378333333333327
2021,17,9.798833333333334
2021,18,34.88466666666667
2021,19,49.83199999999998
2021,20,14.904333333333332
2021,21,16.3165
2021,22,31.21633333333334
2021,23,56.01083333333333
2021,24,56.06333333333334
2022,1,1.6700000000000006
2022,2,5.392833333333332
2022,3,4.446666666666667
2022,4,2.691166666666667
2022,5,6.500166666666664
2022,6,1.983
2022,7,12.25166666666667
2022,8,8.275833333333336
2022,9,11.517999999999999
2022,10,10.059333333333331
2022,11,14.997166666666667
2022,12,7.659333333333335
2022,13,10.501666666666667
2022,14,11.592166666666664
2022,15,22.390166666666666
2022,16,47.98566666666668
2022,17,34.57399999999999
2022,18,9.837666666666665
2022,19,50.19000000000002
2022,20,16.451500000000003
2022,21,12.54183333333333
2022,22,61.78900000000001
2022,23,19.733333333333334
2022,24,20.355999999999998
2023,1,5.5975
2023,2,5.160500000000002
2023,3,9.680666666666669
2023,4,5.926166666666665
2023,5,21.496166666666664
2023,6,4.177833333333334
2023,7,13.091333333333335
2023,8,8.335166666666666
2023,9,4.3839999999999995
2023,10,28.243666666666677
2023,11,7.360333333333334
2023,12,18.03366666666667
2023,13,11.324166666666667
2023,14,14.021833333333332
2023,15,8.756833333333333
